📺央视频道,#genre#
CCTV-1,http://139.129.231.228/rtp/239.21.1.120:5002
CCTV-1,http://139.196.214.238/rtp/239.45.3.145:5140
CCTV-2,http://139.129.231.228/rtp/239.21.1.151:5002
CCTV-2,http://139.196.214.238/rtp/239.45.1.109:5140
CCTV-3,http://139.129.231.228/rtp/239.21.2.45:5002
CCTV-3,http://139.196.214.238/rtp/239.45.1.68:5140
CCTV-4,http://139.129.231.228/rtp/239.21.1.154:5002
CCTV-4,http://139.196.214.238/rtp/239.45.0.2:5140
CCTV-5,http://139.129.231.228/rtp/239.21.2.46:5002
CCTV-5,http://139.196.214.238/rtp/239.45.1.69:5140
CCTV-5+,http://60.29.124.66/rtp/225.1.1.121:5002
CCTV-5+,http://139.129.231.228/rtp/239.21.1.142:5002
CCTV-5+,http://116.117.107.84/rtp/239.125.1.57:5000
CCTV-5+,http://116.117.104.248/rtp/239.125.1.57:5000
CCTV-5+,http://110.7.131.79/rtp/239.125.1.57:5000
CCTV-6,http://139.129.231.228/rtp/239.21.2.47:5002
CCTV-6,http://139.196.214.238/rtp/239.45.1.70:5140
CCTV-7,http://139.129.231.228/rtp/239.21.1.152:5002
CCTV-7,http://139.196.214.238/rtp/239.45.3.56:5140
CCTV-8,http://139.129.231.228/rtp/239.21.2.48:5002
CCTV-8,http://139.196.214.238/rtp/239.45.1.71:5140
CCTV-9,http://139.129.231.228/rtp/239.21.1.153:5002
CCTV-9,http://139.196.214.238/rtp/239.45.3.4:5140
CCTV-10,http://139.129.231.228/rtp/239.21.1.155:5002
CCTV-10,http://139.196.214.238/rtp/239.45.3.8:5140
CCTV-11,http://139.129.231.228/rtp/239.21.1.12:5002
CCTV-11,http://139.196.214.238/rtp/239.45.1.196:5140
CCTV-12,http://60.29.124.66/rtp/225.1.1.142:5002
CCTV-12,http://139.129.231.228/rtp/239.21.1.156:5002
CCTV-12,http://139.196.214.238/rtp/239.45.3.10:5140
CCTV-13,http://139.129.231.228/rtp/239.21.2.3:5002
CCTV-13,http://139.196.214.238/rtp/239.45.1.198:5140
CCTV-14,http://139.129.231.228/rtp/239.21.1.157:5002
CCTV-14,http://139.196.214.238/rtp/239.45.3.23:5140
CCTV-15,http://139.129.231.228/rtp/239.21.1.16:5002
CCTV-15,http://139.196.214.238/rtp/239.45.1.200:5140
CCTV-16,http://60.29.124.66/rtp/225.1.2.237:5002
CCTV-16,http://139.129.231.228/rtp/239.21.2.51:5002
CCTV-16,http://116.117.107.84/rtp/239.125.2.206:4120
CCTV-16,http://116.117.104.248/rtp/239.125.2.206:4120
CCTV-16,http://110.7.131.79/rtp/239.125.2.206:4120
CCTV-17,http://60.29.124.66/rtp/225.1.2.52:5002
CCTV-17,http://139.129.231.228/rtp/239.21.1.186:5002
CCTV-17,http://116.117.107.84/rtp/239.125.2.204:4120
CCTV-17,http://116.117.104.248/rtp/239.125.2.204:4120
CCTV-17,http://110.7.131.79/rtp/239.125.2.204:4120
CETV1,http://139.129.231.228/rtp/239.21.2.7:5002
CETV1,http://123.129.70.178/rtp/239.253.254.110:8000
CETV2,http://139.129.231.228/rtp/239.21.2.8:5002
CETV2,http://116.117.107.84/rtp/239.125.1.29:5000
CETV2,http://116.117.104.248/rtp/239.125.1.29:5000
CETV2,http://110.7.131.79/rtp/239.125.1.29:5000
CETV4,http://139.129.231.228/rtp/239.21.1.222:5002
CETV4,http://123.129.70.178/rtp/239.253.254.116:8000
CETV4,http://116.117.107.84/rtp/239.125.1.110:4120
CETV4,http://116.117.104.248/rtp/239.125.1.110:4120
CETV4,http://110.7.131.79/rtp/239.125.1.110:4120

💰央视付费频道,#genre#
文化精品,http://58.221.214.82/rtp/239.49.9.11:6000
央视台球,http://58.221.214.82/rtp/239.49.9.22:6000
风云音乐,http://58.221.214.82/rtp/239.49.9.13:6000
风云剧场,http://58.221.214.82/rtp/239.49.9.10:6000
怀旧剧场,http://58.221.214.82/rtp/239.49.9.12:6000
女性时尚,http://58.221.214.82/rtp/239.49.9.14:6000
风云足球,http://58.221.214.82/rtp/239.49.1.61:6000
电视指南,http://58.221.214.82/rtp/239.49.1.60:6000
世界地理,http://58.221.214.82/rtp/239.49.1.63:6000
兵器科技,http://58.221.214.82/rtp/239.49.1.64:6000

📡卫视频道,#genre#
广东卫视,http://60.29.124.66/rtp/225.1.1.116:5002
广东卫视,http://139.129.231.228/rtp/239.21.1.92:5002
广东卫视,http://139.196.214.238/rtp/239.45.3.230:5140
浙江卫视,http://60.29.124.66/rtp/225.1.1.112:5002
浙江卫视,http://139.129.231.228/rtp/239.21.1.90:5002
浙江卫视,http://139.196.214.238/rtp/239.45.3.178:5140
湖南卫视,http://60.29.124.66/rtp/225.1.1.114:5002
湖南卫视,http://139.129.231.228/rtp/239.21.1.158:5002
湖南卫视,http://139.196.214.238/rtp/239.45.3.228:5140
北京卫视,http://60.29.124.66/rtp/225.1.1.113:5002
北京卫视,http://139.129.231.228/rtp/239.21.1.88:5002
北京卫视,http://139.196.214.238/rtp/239.45.3.229:5140
湖北卫视,http://60.29.124.66/rtp/225.1.1.147:5002
湖北卫视,http://139.129.231.228/rtp/239.21.1.163:5002
湖北卫视,http://139.196.214.238/rtp/239.45.3.239:5140
黑龙江卫视,http://60.29.124.66/rtp/225.1.1.115:5002
黑龙江卫视,http://139.129.231.228/rtp/239.21.1.91:5002
黑龙江卫视,http://139.196.214.238/rtp/239.45.3.232:5140
黑龙江卫视,http://58.221.214.82/rtp/239.49.1.50:6000
安徽卫视,http://60.29.124.66/rtp/225.1.1.127:5002
安徽卫视,http://139.129.231.228/rtp/239.21.1.159:5002
安徽卫视,http://139.196.214.238/rtp/239.45.1.120:5140
重庆卫视,http://60.29.124.66/rtp/225.1.1.155:5002
重庆卫视,http://139.129.231.228/rtp/239.21.1.233:5002
重庆卫视,http://139.196.214.238/rtp/239.45.1.84:5140
重庆卫视,http://58.221.214.82/rtp/239.49.8.149:6000
东方卫视,http://60.29.124.66/rtp/225.1.2.31:5002
东方卫视,http://139.129.231.228/rtp/239.21.1.111:5002
东方卫视,http://139.196.214.238/rtp/239.45.3.146:5140
东南卫视,http://139.129.231.228/rtp/239.21.1.113:5002
东南卫视,http://139.196.214.238/rtp/239.45.1.121:5140
甘肃卫视,http://60.29.124.66/rtp/225.1.1.30:5002
甘肃卫视,http://139.129.231.228:50060/rtp/239.21.2.22:5002
甘肃卫视,http://139.196.214.238/rtp/239.45.1.234:5140
甘肃卫视,http://123.129.70.178/rtp/239.253.254.74:8000
甘肃卫视,http://116.117.107.84/rtp/239.125.1.151:4130
甘肃卫视,http://58.221.214.82/rtp/239.49.1.238:6000
甘肃卫视,http://116.117.104.248/rtp/239.125.1.151:4130
甘肃卫视,http://110.7.131.79/rtp/239.125.1.151:4130
广西卫视,http://60.29.124.66/rtp/225.1.2.81:5002
广西卫视,http://139.129.231.228/rtp/239.21.1.39:5002
广西卫视,http://139.196.214.238/rtp/239.45.0.5:5140
广西卫视,http://123.129.70.178/rtp/239.253.254.197:8000
贵州卫视,http://60.29.124.66/rtp/225.1.2.28:5002
贵州卫视,http://139.129.231.228/rtp/239.21.1.166:5002
贵州卫视,http://139.196.214.238/rtp/239.45.1.80:5140
海南卫视,http://60.29.124.66/rtp/225.1.2.82:5002
海南卫视,http://139.129.231.228/rtp/239.21.2.14:5002
海南卫视,http://139.196.214.238/rtp/239.45.1.81:5140
海南卫视,http://123.129.70.178/rtp/239.253.254.179:8000
海南卫视,http://116.117.107.84/rtp/239.125.1.165:4130
海南卫视,http://116.117.104.248/rtp/239.125.1.165:4130
海南卫视,http://110.7.131.79/rtp/239.125.1.165:4130
河北卫视,http://60.29.124.66/rtp/225.1.2.27:5002
河北卫视,http://139.129.231.228/rtp/239.21.1.168:5002
河北卫视,http://139.196.214.238/rtp/239.45.1.44:5140
河北卫视,http://58.221.214.82/rtp/239.49.1.236:6000
河南卫视,http://60.29.124.66/rtp/225.1.2.61:5002
河南卫视,http://139.129.231.228/rtp/239.21.2.37:5002
河南卫视,http://139.196.214.238/rtp/239.45.0.3:5140
河南卫视,http://123.129.70.178/rtp/239.253.254.190:8000
吉林卫视,http://60.29.124.66/rtp/225.1.2.26:5002
吉林卫视,http://139.129.231.228/rtp/239.21.2.49:5002
吉林卫视,http://139.196.214.238/rtp/239.45.0.6:5140
吉林卫视,http://123.129.70.178/rtp/239.253.254.173:8000
江苏卫视,http://60.29.124.66/rtp/225.1.1.126:5002
江苏卫视,http://139.129.231.228/rtp/239.21.1.89:5002
江苏卫视,http://139.196.214.238/rtp/239.45.3.177:5140
江西卫视,http://60.29.124.66/rtp/225.1.2.29:5002
江西卫视,http://139.129.231.228/rtp/239.21.1.167:5002
江西卫视,http://139.196.214.238/rtp/239.45.1.122:5140
江西卫视,http://123.129.70.178/rtp/239.253.254.47:8000
辽宁卫视,http://60.29.124.66/rtp/225.1.1.154:5002
辽宁卫视,http://139.129.231.228/rtp/239.21.1.164:5002
辽宁卫视,http://139.196.214.238/rtp/239.45.1.123:5140
内蒙古卫视,http://60.29.124.66/rtp/225.1.1.32:5002
内蒙古卫视,http://139.129.231.228:50060/rtp/239.21.1.41:5002
内蒙古卫视,http://139.196.214.238/rtp/239.45.1.238:5140
内蒙古卫视,http://116.117.107.84/rtp/239.125.1.59:5000
内蒙古卫视,http://58.221.214.82/rtp/239.49.1.240:6000
内蒙古卫视,http://116.117.104.248/rtp/239.125.1.59:5000
内蒙古卫视,http://110.7.131.79/rtp/239.125.1.59:5000
宁夏卫视,http://60.29.124.66/rtp/225.1.1.56:5002
宁夏卫视,http://139.129.231.228/rtp/239.21.1.44:5002
宁夏卫视,http://139.196.214.238/rtp/239.45.1.213:5140
宁夏卫视,http://58.221.214.82/rtp/239.49.1.237:6000
青海卫视,http://60.29.124.66/rtp/225.1.1.54:5002
青海卫视,http://139.129.231.228/rtp/239.21.1.43:5002
